,Caiman,Turtle,Dinosaur,Toad,Screwdriver,Axe,Salamander,LawnMower,Tortoise,Oilcan,Lizard,Gecko,Snake,Alligator,Spanner,Saw,Vacuum,Knife,Paintbrush,Chameleon,Cobra,Nail,Blindworm,Crocodile,Chisel,Hammer,Grindingdisk,Shovel,Anvil,Boapython
Caiman,7,4,1,4,4,4,4,2,3,7,7,4,3,7,4,4,4,4,6,4,7,7,7,7,7,6,7,5,4,7
Turtle,5,7,4,6,1,4,2,1,7,4,7,3,4,4,4,4,1,2,4,3,4,3,7,4,4,4,4,2,4,7
Dinosaur,1,1,7,1,1,1,1,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1
Toad,4,4,1,7,4,2,4,1,7,6,4,3,3,1,5,1,1,3,4,3,4,3,4,1,4,7,4,7,5,7
Screwdriver,4,2,1,4,7,1,1,1,1,4,1,3,1,1,3,4,1,3,1,3,3,1,3,1,7,1,4,3,1,4
Axe,4,3,1,4,3,7,3,1,3,4,1,4,4,1,4,4,1,6,2,2,4,2,4,1,7,4,4,4,4,4
Salamander,5,4,1,4,1,4,7,1,2,7,7,1,4,1,2,3,1,2,4,4,3,3,7,1,7,4,7,4,5,4
LawnMower,3,1,1,1,2,1,1,7,1,4,1,1,1,1,2,3,4,1,1,1,1,1,4,1,4,2,4,4,1,1
Tortoise,3,7,6,4,1,1,1,1,7,3,6,3,3,3,3,1,1,1,4,4,3,1,7,4,4,1,7,1,3,7
Oilcan,7,7,1,7,7,4,1,4,5,7,3,3,4,1,7,4,1,4,7,1,7,5,7,4,4,4,7,5,7,7
Lizard,3,6,7,3,1,3,6,1,4,4,7,7,4,3,3,3,1,1,1,7,4,1,7,5,4,4,3,2,3,1
Gecko,7,4,2,4,4,7,6,1,3,7,7,7,4,2,7,3,2,1,4,7,4,3,7,1,7,4,7,3,4,7
Snake,4,5,3,4,1,4,4,1,3,4,7,4,7,4,3,4,1,4,1,3,7,4,7,4,4,3,3,2,4,7
Alligator,7,2,4,3,1,1,2,1,4,3,7,1,3,7,1,1,1,1,1,3,3,1,2,7,3,1,3,1,2,1
Spanner,7,4,1,4,7,4,4,1,4,7,1,4,4,1,7,4,1,1,3,4,5,1,7,1,7,4,7,2,3,7
Saw,4,4,1,4,3,4,3,2,1,5,3,4,4,1,4,7,1,4,1,4,4,1,4,1,7,2,4,4,4,4
Vacuum,3,1,1,1,1,1,1,4,1,3,1,1,1,1,3,1,7,1,1,1,3,1,3,1,3,1,4,1,1,3
Knife,4,3,1,3,5,4,1,1,1,4,1,3,4,1,4,4,1,7,2,1,4,1,4,1,7,1,4,4,3,3
Paintbrush,7,7,1,7,4,4,4,1,7,7,3,7,4,1,7,3,1,2,7,7,7,3,7,3,5,4,7,4,7,4
Chameleon,4,4,3,4,2,4,6,1,3,7,7,4,4,4,4,3,1,2,7,7,4,3,4,3,4,4,4,4,4,3
Cobra,4,4,1,1,3,3,1,3,1,5,7,1,7,3,4,3,1,4,3,3,7,3,4,3,4,4,5,4,4,6
Nail,4,5,1,3,1,1,3,1,3,4,1,4,3,1,2,3,1,4,3,4,4,7,7,1,7,7,3,1,7,5
Blindworm,7,4,1,1,1,3,3,1,4,5,3,3,1,1,4,3,4,1,3,4,5,4,7,1,6,4,5,1,4,5
Crocodile,7,6,7,4,1,3,2,1,4,3,7,1,4,7,1,3,1,1,3,3,5,1,3,7,4,1,3,3,3,1
Chisel,7,7,1,4,6,4,3,1,4,4,1,4,5,1,4,4,1,7,7,3,7,7,6,2,7,7,4,4,7,4
Hammer,4,4,1,3,2,1,1,1,1,3,1,4,2,1,3,2,1,3,1,2,4,4,5,1,7,7,4,4,7,4
Grindingdisk,4,7,1,4,1,4,4,1,7,7,4,4,4,1,7,3,2,3,4,4,7,7,7,3,7,3,7,4,7,7
Shovel,7,4,1,4,1,3,1,2,4,4,1,2,4,1,3,4,1,4,1,1,4,4,5,1,7,4,3,7,4,6
Anvil,7,4,1,4,1,7,1,1,4,4,1,4,4,1,4,3,1,3,3,3,4,4,4,1,6,7,7,3,7,7
Boapython,5,4,3,3,4,1,4,1,3,7,6,4,4,3,4,1,3,1,4,4,7,5,7,3,4,1,5,4,4,7
