,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,3,4,3,1,4,4,4,4,6,2,4,1,3,4,4,4,4,4,1,4,4,4,1,4,4,3,4,4,4
Anvil,1,6,4,3,1,3,4,6,4,3,4,4,4,6,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4
Axe,4,4,6,1,3,3,4,4,1,4,3,4,1,6,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4
Blindworm,3,3,4,4,4,3,4,6,4,1,4,4,4,3,4,4,3,4,3,4,4,6,4,4,4,4,4,4,3,3
Boapython,4,6,4,3,4,4,4,1,4,3,4,4,4,4,4,1,3,4,5,4,4,3,4,3,4,4,3,4,4,4
Caiman,6,4,4,4,4,1,4,4,6,6,1,4,4,3,4,3,4,4,4,6,4,4,4,3,4,4,3,4,4,4
Chameleon,4,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,6,4,4,3,6,4,4,3,3,4,4,4,3,3
Chisel,4,4,4,3,4,4,6,6,4,3,1,4,3,3,4,4,4,6,4,4,6,6,4,4,4,4,4,4,4,3
Cobra,2,4,4,4,4,4,4,6,6,3,1,4,3,3,4,4,4,6,4,3,4,3,3,3,4,3,3,4,3,5
Crocodile,6,3,3,1,1,4,4,3,4,7,4,6,4,3,4,4,4,3,3,4,1,3,4,4,4,4,4,3,4,4
Dinosaur,6,1,4,1,4,5,4,4,1,3,7,4,1,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4
Gecko,4,4,6,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Grindingdisk,1,4,6,4,4,4,3,6,3,3,3,4,6,4,4,4,1,3,3,4,4,6,4,4,4,1,4,4,1,4
Hammer,4,4,4,4,4,3,4,4,4,3,4,4,4,6,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4
Knife,3,4,5,4,4,4,4,4,3,4,3,4,6,4,7,5,3,6,5,4,4,4,4,6,3,4,4,4,4,4
LawnMower,1,1,2,2,4,3,4,3,4,3,1,4,4,4,4,7,1,4,4,4,1,3,4,4,1,4,6,4,4,4
Lizard,3,4,4,4,1,4,6,4,1,1,7,6,4,4,4,4,7,4,3,4,4,3,4,3,4,4,4,4,4,4
Nail,1,4,4,1,3,4,4,4,3,3,4,4,4,6,4,4,3,4,4,4,4,5,4,4,1,4,1,4,4,1
Oilcan,4,5,6,4,4,4,4,4,4,1,4,4,5,4,5,4,4,4,6,4,4,6,4,5,4,4,4,5,4,5
Paintbrush,1,4,4,1,4,4,4,4,4,4,1,4,1,4,5,4,3,4,3,6,4,4,4,4,4,6,5,4,4,4
Salamander,1,3,4,4,4,5,4,3,4,1,4,4,4,6,4,4,6,4,4,4,4,4,4,3,1,4,4,3,3,2
Saw,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,1,3,6,4,4,4,4,4,4,4,4
Screwdriver,1,4,4,4,4,3,4,4,4,4,1,4,4,2,5,4,4,4,4,4,4,4,7,4,4,4,4,3,4,4
Shovel,1,4,6,2,4,4,4,6,3,6,4,4,5,4,4,7,1,4,4,4,4,4,6,6,4,4,4,4,4,4
Snake,3,4,3,3,4,3,5,4,2,1,3,4,4,4,3,4,4,4,3,4,4,3,4,4,7,1,3,4,4,4
Spanner,3,4,3,4,4,6,4,4,4,3,1,4,3,4,4,4,4,4,6,4,4,3,4,3,4,4,4,4,3,4
Toad,1,4,4,4,1,4,4,4,3,3,4,4,3,4,1,4,4,4,4,6,3,4,4,3,3,4,4,4,4,4
Tortoise,3,1,3,4,4,4,4,3,1,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,1,4,7,5,4
Turtle,3,4,4,4,3,4,4,4,3,4,1,4,3,4,4,4,1,4,4,3,4,4,4,6,4,6,6,6,7,4
Vacuum,1,4,4,3,4,4,4,4,1,1,4,4,4,4,4,4,3,1,3,4,1,4,4,4,1,1,4,4,1,4
