,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,4,4,1,4,4,4,4,6,4,3,1,1,3,4,3,4,3,4,3,2,4,1,4,3,4,4,4,4
Anvil,2,6,5,2,1,4,7,4,5,4,4,4,4,6,4,4,3,6,4,4,2,4,4,4,4,4,4,4,4,3
Axe,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4
Blindworm,3,3,3,4,4,1,4,4,4,3,1,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4
Boapython,1,4,4,3,4,4,3,4,4,3,1,4,4,4,4,3,4,1,4,4,4,1,4,1,4,4,4,4,3,4
Caiman,4,4,4,1,4,4,3,5,4,3,1,5,3,1,4,4,4,4,4,4,4,6,4,4,3,4,3,4,6,4
Chameleon,3,4,3,4,4,4,4,4,6,4,4,4,4,4,4,3,6,4,4,4,4,3,4,4,4,4,4,4,4,1
Chisel,3,4,6,3,4,4,7,6,4,3,4,4,3,4,4,5,6,4,4,4,4,4,4,4,4,4,3,4,4,4
Cobra,4,4,4,3,4,3,4,4,4,3,4,1,4,4,3,1,3,5,4,4,4,3,4,3,4,4,5,4,4,3
Crocodile,7,4,1,4,4,7,4,3,3,7,4,4,4,3,3,4,4,4,3,5,3,3,4,3,4,4,4,3,4,4
Dinosaur,6,4,4,1,4,3,3,1,4,4,7,4,4,4,4,4,6,4,4,6,4,4,4,4,4,4,4,4,4,4
Gecko,4,4,5,4,4,4,4,3,1,1,1,4,1,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,3,4
Grindingdisk,4,4,4,1,4,3,4,4,4,4,3,4,7,4,6,4,6,3,4,5,4,4,4,4,4,4,4,4,4,4
Hammer,3,4,4,3,4,4,4,4,4,3,4,4,4,6,4,5,3,6,4,4,4,5,4,4,3,4,4,4,4,4
Knife,4,4,6,3,3,1,4,4,4,4,1,4,4,5,7,3,4,6,5,4,1,6,4,5,4,4,3,4,4,4
LawnMower,1,1,4,4,1,3,4,6,4,1,1,4,4,4,2,7,3,1,4,4,4,4,4,4,4,4,3,4,1,3
Lizard,4,6,4,3,3,4,4,4,6,1,6,6,3,4,4,4,7,4,4,1,6,4,4,1,3,4,4,6,4,1
Nail,4,4,6,3,4,1,3,6,3,1,4,4,6,6,1,1,4,4,4,4,4,6,4,4,2,4,4,3,4,4
Oilcan,4,6,4,4,4,4,4,4,6,4,4,4,4,6,5,3,4,4,4,4,4,4,4,6,4,4,4,4,4,4
Paintbrush,2,4,4,4,4,4,4,6,3,3,4,6,4,5,5,4,3,4,7,6,4,4,4,4,4,4,5,4,4,4
Salamander,3,4,3,4,1,3,4,4,4,1,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,6,4,4,4
Saw,3,3,4,4,4,4,4,4,3,4,3,4,3,4,6,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4
Screwdriver,2,4,4,3,4,4,4,4,3,1,3,4,3,4,6,4,1,4,4,4,1,3,7,4,4,4,4,1,1,4
Shovel,4,3,4,2,3,3,6,4,1,4,1,4,4,6,4,6,3,4,4,4,4,4,4,6,4,4,6,4,4,4
Snake,3,4,3,3,1,3,4,4,3,4,1,1,4,3,3,1,4,4,4,6,4,4,4,3,7,4,3,4,4,4
Spanner,4,4,4,4,3,3,6,4,4,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,1,6,4,4,4
Toad,3,4,4,3,1,3,4,1,4,3,1,4,4,4,2,4,4,3,4,4,4,1,4,4,4,4,7,4,4,4
Tortoise,3,4,1,3,1,4,4,4,3,4,1,4,4,1,4,4,1,4,4,4,4,4,4,4,3,4,4,7,4,3
Turtle,4,3,2,4,1,3,4,4,2,3,4,4,3,4,4,3,4,3,4,6,4,4,4,4,4,5,4,6,7,4
Vacuum,3,1,3,1,4,3,4,1,1,2,4,3,3,3,3,4,4,1,4,3,4,4,4,4,4,4,4,4,4,7
