,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,4,4,3,4,4,4,3,4,6,6,1,4,4,4,1,4,4,4,2,4,4,4,4,4,4,1,4,4,4,1
Anvil,3,4,3,4,4,3,4,5,3,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Axe,4,4,6,3,3,3,4,4,2,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
Blindworm,4,4,3,4,4,4,4,4,3,4,1,4,3,4,4,4,4,4,3,4,6,4,5,4,4,1,3,4,4,4
Boapython,4,5,3,2,6,4,4,4,4,6,3,4,4,1,1,3,1,4,1,6,3,4,4,3,4,4,1,3,1,1
Caiman,6,6,3,3,1,4,4,1,4,3,4,4,4,1,3,3,5,4,4,5,4,4,4,4,4,4,4,4,6,4
Chameleon,4,6,4,4,4,4,6,6,4,6,1,4,4,4,4,4,4,4,4,1,3,3,4,3,3,4,4,4,4,3
Chisel,1,4,4,3,3,4,4,6,4,4,3,4,3,6,3,3,3,6,4,3,6,6,4,4,4,4,4,4,4,4
Cobra,4,4,4,3,4,4,4,4,3,6,1,5,5,4,6,1,4,4,4,4,4,3,4,3,6,4,5,4,3,1
Crocodile,6,4,4,4,4,4,4,3,3,6,1,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,6,4
Dinosaur,6,4,2,4,1,4,4,4,4,6,4,4,4,4,4,3,6,4,4,4,4,3,4,3,4,4,4,4,4,3
Gecko,4,4,4,4,3,3,4,4,5,4,1,4,5,3,5,1,3,4,4,4,4,4,4,4,1,4,4,4,4,4
Grindingdisk,3,4,3,1,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,6,5,3,3,4,4,4
Hammer,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,1
Knife,2,6,4,4,4,4,4,5,1,1,3,4,4,4,7,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
LawnMower,1,4,5,3,3,1,3,4,1,3,1,4,3,3,3,7,3,4,3,4,4,5,4,3,1,4,4,1,4,4
Lizard,3,4,4,3,4,3,6,4,4,1,4,6,4,4,2,4,7,1,4,3,5,4,4,4,6,4,4,4,4,4
Nail,4,4,6,3,2,3,4,4,1,3,4,4,4,6,4,1,3,7,4,4,4,4,4,4,3,2,3,4,4,4
Oilcan,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,5,4,4,6,4,3,6,4,4,4,4,4,4,4,4
Paintbrush,4,4,4,4,4,4,6,4,4,2,4,6,6,4,4,4,3,4,7,6,4,5,4,1,5,4,6,4,4,4
Salamander,1,4,4,3,4,3,4,3,3,1,4,4,4,3,4,3,6,4,3,4,7,4,4,3,3,4,4,1,3,4
Saw,3,3,4,1,4,6,3,6,3,3,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,5,1,4,4,4
Screwdriver,4,4,4,4,4,4,4,5,3,1,4,4,4,4,4,4,3,1,4,4,4,4,6,4,4,4,4,4,4,4
Shovel,3,4,6,4,4,3,4,5,5,2,1,4,4,6,4,4,4,4,4,4,4,5,4,6,3,4,4,3,4,4
Snake,4,5,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,1,4,4,7,4,4,3,4,4
Spanner,3,4,4,4,4,3,3,4,5,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,4
Toad,3,6,4,4,4,6,4,4,4,1,3,4,4,4,3,4,6,3,1,4,1,4,4,4,4,6,4,4,4,4
Tortoise,4,4,4,3,4,4,4,3,1,3,3,4,4,4,3,1,4,4,4,4,3,4,4,4,4,4,4,7,6,1
Turtle,4,4,4,4,1,4,4,3,2,3,3,6,4,3,4,4,4,4,5,4,3,5,4,4,4,4,4,6,7,4
Vacuum,4,4,4,4,4,4,4,3,4,4,1,1,4,4,1,4,4,4,3,4,4,1,4,2,4,4,3,4,4,4
