,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,3,3,4,6,4,4,4,6,5,4,4,3,1,4,4,4,1,4,4,4,4,4,4,4,3,3,6,4
Anvil,1,6,6,4,4,3,3,6,4,3,4,6,3,6,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,3
Axe,3,6,5,3,4,4,4,4,4,2,1,1,3,4,4,4,4,3,4,4,4,4,4,4,4,2,3,4,4,1
Blindworm,4,4,3,4,4,3,4,4,3,1,4,4,4,4,5,4,4,6,3,1,3,3,4,4,3,4,3,4,4,3
Boapython,1,4,3,3,4,4,4,4,3,4,1,4,4,1,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4
Caiman,3,4,3,3,4,4,4,4,6,3,4,4,3,3,4,4,3,4,4,6,1,3,4,4,3,5,3,4,4,4
Chameleon,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
Chisel,4,4,5,4,4,4,4,6,4,3,4,6,4,6,6,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4
Cobra,4,4,3,4,4,4,4,5,1,4,1,4,4,4,3,4,4,4,4,3,3,3,4,3,4,3,3,4,3,4
Crocodile,6,4,3,1,3,6,3,4,4,7,1,4,4,4,3,4,5,4,4,4,4,3,4,3,4,1,4,4,4,4
Dinosaur,6,4,3,4,4,4,4,4,3,4,7,3,4,4,4,4,6,4,3,1,3,3,4,4,1,4,5,4,4,3
Gecko,4,6,4,4,4,4,4,4,6,4,3,4,4,4,6,4,6,4,4,6,4,4,4,4,3,4,4,4,3,3
Grindingdisk,4,4,3,4,4,6,4,3,3,4,4,4,4,4,5,3,4,5,4,4,6,4,4,3,1,4,6,4,4,4
Hammer,3,4,4,3,4,3,4,6,3,4,4,4,4,7,4,4,3,4,4,4,4,4,4,5,4,4,4,2,4,4
Knife,1,4,4,4,4,5,4,4,4,1,4,4,2,6,7,4,4,3,4,4,4,6,4,4,4,4,5,4,4,4
LawnMower,1,1,4,4,4,4,4,4,4,1,4,4,1,3,4,7,4,4,5,4,1,4,4,6,4,4,4,4,4,4
Lizard,6,4,4,3,1,5,6,4,5,1,4,7,4,4,4,1,7,3,4,4,4,4,4,3,3,4,3,4,4,4
Nail,4,4,4,4,4,5,3,1,4,1,1,3,1,6,6,4,3,7,4,4,4,4,4,4,1,4,3,4,2,4
Oilcan,4,6,4,4,2,4,4,4,4,3,3,4,4,6,4,4,4,4,7,4,3,4,4,4,3,4,5,4,1,4
Paintbrush,5,4,6,4,4,3,4,6,3,4,1,4,4,4,4,1,1,4,4,6,4,6,4,4,4,4,6,4,4,4
Salamander,2,4,3,4,3,4,4,4,4,1,1,4,4,3,3,4,6,4,4,5,4,4,4,3,3,4,4,4,4,4
Saw,5,4,4,3,3,3,3,4,1,4,4,3,3,4,3,4,3,4,3,4,4,6,4,4,3,4,3,4,3,4
Screwdriver,4,4,6,4,4,4,4,6,4,3,1,4,4,4,6,4,4,3,4,4,4,4,7,4,4,6,4,3,1,4
Shovel,1,4,6,3,3,5,3,4,6,3,4,4,4,5,4,5,1,4,4,4,4,5,4,6,4,5,3,4,4,4
Snake,3,4,3,3,4,3,4,1,4,4,1,4,4,4,4,4,4,5,1,4,3,3,4,3,4,4,4,4,4,3
Spanner,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4
Toad,3,1,4,4,1,3,4,4,4,4,3,4,4,4,4,1,4,4,1,6,6,3,4,5,4,4,4,4,4,3
Tortoise,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,1,4,4,4,4,4,4,6,7,6,4
Turtle,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,1,4,6,6,4,4
Vacuum,1,1,4,4,4,4,4,3,4,1,4,1,3,1,4,4,4,4,4,5,4,4,4,4,1,4,4,3,1,7
