,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,3,3,4,4,4,3,3,6,1,4,4,4,4,4,6,4,4,4,4,3,4,3,3,4,3,3,4,4
Anvil,4,6,5,4,4,3,3,6,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,2,3
Axe,1,6,4,1,3,3,3,4,3,3,4,4,4,4,4,6,1,4,4,4,4,3,4,4,1,4,4,4,4,2
Blindworm,3,4,4,4,2,4,4,5,4,4,1,4,4,3,3,1,6,4,4,4,4,4,4,4,3,3,3,4,4,4
Boapython,4,4,4,4,6,3,4,4,4,4,1,4,4,3,4,3,4,4,1,4,3,3,4,4,4,4,4,4,4,3
Caiman,4,5,4,4,4,6,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3
Chameleon,3,4,4,3,3,4,4,4,4,4,1,4,4,6,4,3,4,4,4,6,3,3,4,4,3,4,4,6,4,1
Chisel,3,4,4,3,3,4,4,5,4,3,4,4,4,6,4,4,4,6,4,4,4,4,4,6,3,4,4,4,3,4
Cobra,4,4,4,3,4,3,3,4,4,6,3,5,4,1,4,4,4,3,1,4,3,4,4,3,4,4,4,4,4,4
Crocodile,4,1,3,4,6,4,4,4,1,7,4,4,4,4,1,1,4,4,3,4,4,3,4,4,4,4,4,4,4,4
Dinosaur,4,4,4,3,3,4,4,2,4,4,7,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
Gecko,4,5,4,4,4,4,4,4,3,1,1,4,4,4,4,7,6,4,6,4,4,4,4,4,3,4,4,4,4,4
Grindingdisk,4,4,4,4,5,4,4,4,4,4,4,4,6,4,4,4,1,4,4,5,4,3,4,4,4,4,3,4,4,4
Hammer,3,4,4,3,1,4,3,6,4,3,4,5,4,6,4,6,4,4,3,4,3,5,4,3,4,4,4,4,4,4
Knife,2,6,4,4,4,3,3,6,4,4,3,4,4,4,7,4,4,4,4,4,1,4,6,3,4,4,3,4,4,3
LawnMower,4,4,4,3,3,3,5,4,1,1,1,4,3,3,4,7,4,4,3,4,4,3,4,6,4,4,4,4,4,4
Lizard,4,1,3,3,3,6,6,4,3,6,1,6,1,4,4,4,7,3,4,4,4,4,4,3,4,4,4,4,4,1
Nail,1,4,6,4,3,3,3,4,3,4,1,4,4,6,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4
Oilcan,4,4,5,1,6,3,4,6,4,4,4,4,4,5,4,5,4,4,7,5,6,4,4,4,4,4,4,4,4,4
Paintbrush,3,4,4,4,4,4,4,4,5,6,4,4,4,4,4,4,1,3,4,4,4,4,4,1,3,4,4,4,2,4
Salamander,4,4,4,4,4,3,4,4,3,1,4,4,4,3,4,4,4,3,4,4,6,4,4,4,4,3,4,3,4,4
Saw,4,6,3,1,3,3,6,4,3,4,4,3,3,3,4,1,3,3,1,4,4,4,7,5,3,4,3,4,4,4
Screwdriver,4,4,4,4,4,6,4,4,3,3,4,4,4,4,4,4,4,3,4,5,1,4,7,5,4,6,4,4,4,4
Shovel,1,4,6,4,4,1,4,4,3,3,5,6,3,6,5,4,4,4,4,4,5,6,4,6,3,4,4,4,4,5
Snake,3,6,4,3,4,3,6,4,4,3,4,4,4,2,3,3,4,4,5,4,4,3,4,4,7,5,4,4,4,1
Spanner,4,4,4,4,4,3,3,4,4,3,1,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,5
Toad,3,6,4,1,1,3,4,4,3,4,3,4,6,4,3,4,4,4,3,1,5,4,4,4,3,4,4,4,3,4
Tortoise,4,1,4,4,4,3,4,4,3,3,4,4,3,1,3,4,4,1,4,4,3,4,4,4,4,4,4,7,4,1
Turtle,4,4,4,4,4,6,1,4,4,1,1,4,4,3,4,4,4,1,4,4,4,3,4,3,3,4,6,4,7,1
Vacuum,1,3,4,4,4,3,4,3,1,1,4,4,4,4,4,2,4,4,1,4,4,4,1,4,1,4,4,4,1,4
