,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,4,4,3,4,1,4,3,6,4,6,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,3,4,4,4
Anvil,3,6,3,3,4,4,4,4,1,3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Axe,4,4,4,4,1,3,4,6,3,4,3,4,4,4,1,4,4,4,1,5,4,4,4,4,3,4,4,4,4,4
Blindworm,3,3,4,1,4,4,4,4,3,3,1,4,4,4,4,4,4,3,4,4,4,1,4,3,1,3,4,4,4,4
Boapython,1,6,4,4,6,4,4,4,4,4,1,4,4,4,5,4,3,4,4,4,2,4,4,4,4,4,3,4,6,4
Caiman,4,4,3,1,1,4,4,6,3,6,1,4,4,4,3,1,4,4,4,6,4,3,4,4,1,4,3,4,4,4
Chameleon,4,4,4,3,4,4,4,4,4,1,4,1,4,4,4,4,6,4,4,6,4,3,3,4,4,4,4,4,4,3
Chisel,4,4,4,3,4,4,4,6,4,3,3,4,3,4,5,3,4,3,4,4,4,4,6,4,5,4,4,4,4,4
Cobra,3,4,4,3,4,5,4,4,3,4,1,4,4,3,2,3,4,4,5,4,4,4,3,4,4,4,4,4,4,3
Crocodile,4,4,3,3,3,7,4,3,3,7,1,5,3,4,1,1,4,4,3,4,4,4,4,4,6,4,4,4,3,1
Dinosaur,4,4,4,4,4,1,4,4,4,6,7,4,1,3,3,4,4,4,4,3,1,2,3,4,1,1,4,4,4,4
Gecko,4,6,4,4,4,4,4,3,3,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4
Grindingdisk,3,4,4,4,3,4,3,6,4,5,4,5,6,4,4,6,3,3,5,4,3,4,6,6,4,4,3,4,3,4
Hammer,4,4,4,5,4,4,5,6,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4
Knife,4,4,4,1,1,1,4,6,4,4,4,4,5,5,7,4,4,6,4,6,4,5,4,4,3,3,4,4,4,4
LawnMower,1,4,4,4,3,3,5,4,4,4,4,4,1,4,3,7,4,4,4,4,1,3,4,4,3,4,4,3,4,3
Lizard,3,6,4,3,5,2,6,3,4,1,3,6,4,4,4,4,7,4,3,4,4,4,4,3,3,4,1,4,4,4
Nail,3,6,6,4,1,3,3,6,4,1,4,4,4,6,5,3,1,4,4,4,1,4,4,4,1,4,4,4,7,1
Oilcan,4,5,4,4,5,4,5,6,6,1,4,4,3,5,4,4,3,4,6,4,4,4,4,4,1,4,4,4,4,5
Paintbrush,1,4,6,4,6,4,4,4,4,3,1,4,4,4,4,4,4,4,4,6,4,4,4,4,1,1,4,4,5,4
Salamander,3,4,3,4,4,4,4,4,4,3,1,4,4,4,4,4,6,3,3,4,6,3,4,4,4,4,4,4,4,4
Saw,3,1,4,4,1,4,3,3,4,6,3,4,4,4,4,3,3,3,1,3,3,4,4,4,3,4,4,4,3,4
Screwdriver,4,4,4,4,4,3,4,4,5,3,4,4,1,4,4,4,4,4,4,4,3,4,7,4,1,4,4,4,4,4
Shovel,1,4,6,3,1,1,3,4,1,5,6,4,4,4,4,4,3,4,4,4,4,4,5,6,3,4,4,4,4,4
Snake,3,3,4,3,1,4,4,4,3,3,1,4,4,4,3,2,4,4,5,4,4,3,4,4,7,4,4,4,4,4
Spanner,3,4,6,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,4,6,4,4,6,4,6,4
Toad,1,4,4,4,4,4,4,6,1,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,7,4,4,4
Tortoise,4,4,5,4,4,4,4,4,1,4,4,4,1,3,5,4,3,3,4,1,4,4,4,4,3,4,5,6,1,1
Turtle,6,4,4,3,4,4,4,4,4,4,1,4,1,4,4,4,6,3,4,4,4,4,4,4,4,3,4,6,7,1
Vacuum,4,1,4,1,4,4,4,4,2,3,1,4,5,4,4,4,4,4,1,3,1,4,4,3,3,1,4,4,3,4
