,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,1,1,4,1,4,5,4,3,6,1,4,3,4,1,4,4,4,4,1,4,4,1,4,5,4,4,4,4,4
Anvil,3,6,3,4,4,4,4,6,3,4,4,4,4,6,4,4,1,6,4,4,4,3,4,4,4,4,4,4,5,1
Axe,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3
Blindworm,3,1,3,4,1,6,4,4,3,3,4,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,4,4,1,3
Boapython,3,4,4,4,4,1,4,4,3,4,1,4,4,4,6,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4
Caiman,6,4,3,2,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,6,4,3,4,4,3,4,4,3,4,4
Chameleon,4,4,3,3,4,4,4,6,4,3,4,4,4,3,4,4,6,4,4,5,4,3,4,6,3,3,4,4,4,4
Chisel,3,4,4,4,3,3,4,6,5,4,3,4,3,4,4,3,4,6,4,5,4,3,4,4,3,5,4,5,4,3
Cobra,4,6,4,4,2,3,6,3,4,3,3,4,1,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3
Crocodile,6,4,4,3,4,3,4,4,4,7,4,3,5,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4
Dinosaur,4,6,4,1,1,4,4,4,4,6,7,4,1,3,3,4,4,4,4,4,1,3,4,4,4,5,3,4,4,3
Gecko,4,6,6,4,4,4,4,4,4,3,3,6,4,4,4,2,6,3,4,4,4,4,3,4,4,4,3,4,4,4
Grindingdisk,4,4,6,4,1,3,4,4,5,4,3,4,1,3,7,3,4,1,4,6,4,4,4,4,3,4,3,4,4,4
Hammer,3,4,4,4,4,4,4,5,1,4,1,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4
Knife,3,4,4,3,4,6,3,6,3,4,4,4,4,4,7,4,4,1,4,4,1,5,4,4,4,4,4,4,1,4
LawnMower,3,1,4,3,4,3,4,3,1,1,4,5,4,1,4,7,1,4,4,4,4,4,4,4,2,4,4,4,4,4
Lizard,4,4,5,1,4,4,4,5,3,4,1,6,1,4,4,3,7,3,4,4,4,3,4,4,4,3,4,4,4,1
Nail,1,4,4,4,2,4,4,4,3,3,4,4,4,6,5,4,1,6,4,4,1,3,4,2,3,4,3,4,4,4
Oilcan,5,6,4,4,4,4,4,6,4,3,4,4,4,6,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
Paintbrush,2,4,4,4,4,4,4,4,5,3,1,4,4,4,3,4,4,4,4,6,4,4,4,4,4,4,1,4,4,4
Salamander,1,4,4,4,1,4,6,3,4,1,3,4,4,3,1,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4
Saw,4,4,5,4,4,3,3,4,3,3,3,4,3,3,5,3,3,3,3,5,3,4,4,5,4,4,4,4,4,1
Screwdriver,1,4,4,4,4,5,4,6,4,1,1,4,1,4,6,4,4,6,4,1,1,3,7,4,4,4,4,4,4,4
Shovel,1,6,6,4,1,4,4,4,4,4,3,3,4,6,4,4,4,6,4,4,4,6,4,6,4,4,4,4,4,4
Snake,3,5,4,4,1,4,4,4,2,3,1,4,3,4,4,4,4,4,3,4,4,4,4,3,7,4,4,4,4,4
Spanner,4,4,6,4,4,4,6,4,3,4,4,4,4,4,4,4,3,4,4,5,3,4,4,3,3,4,1,4,4,3
Toad,2,4,1,4,4,4,4,4,2,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,7,4,4,3
Tortoise,4,3,3,4,4,1,4,4,1,3,4,4,4,4,4,1,4,4,4,6,3,4,4,4,3,4,4,7,4,4
Turtle,4,3,4,4,4,4,4,4,4,1,1,6,4,4,4,4,4,4,4,1,4,4,4,4,4,4,6,4,4,1
Vacuum,1,4,4,4,4,2,4,3,1,1,4,4,4,4,4,4,1,4,4,4,4,1,4,3,4,4,4,4,4,4
