,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,3,1,1,4,4,4,1,6,1,4,1,3,4,1,3,4,4,4,4,3,4,4,4,4,4,5,4,4
Anvil,4,4,1,4,4,4,4,6,4,4,4,4,4,6,5,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4
Axe,4,4,4,3,4,4,4,4,5,4,4,3,4,6,5,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4
Blindworm,4,4,4,7,3,3,4,1,3,3,4,6,3,4,1,1,1,4,4,4,4,1,4,4,3,4,5,4,4,3
Boapython,1,4,4,4,4,3,3,4,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,3,3,4,4,4,4,4
Caiman,6,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,4,4,4,4,4,4,4,6,4,4,4,4,4,3
Chameleon,4,4,4,4,3,4,4,4,5,4,1,4,3,4,1,4,6,4,4,4,3,4,4,4,4,4,4,3,4,4
Chisel,4,4,4,4,4,4,4,6,4,4,3,5,5,3,6,4,3,6,4,5,3,4,4,4,4,4,4,4,3,3
Cobra,4,4,3,4,4,5,7,4,4,3,1,6,4,3,1,4,4,4,5,5,3,3,4,3,4,4,4,4,4,1
Crocodile,6,4,3,3,4,7,4,4,3,7,1,4,3,4,3,4,4,4,4,4,4,3,4,4,4,1,4,4,4,1
Dinosaur,6,4,4,4,4,4,4,4,4,6,7,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,5,1
Gecko,4,4,4,1,4,4,4,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,1
Grindingdisk,3,4,4,1,3,5,4,4,4,3,1,3,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
Hammer,1,6,4,4,3,5,4,6,3,3,4,4,4,6,4,3,4,6,4,4,4,3,4,4,4,4,4,4,4,5
Knife,1,4,4,3,4,4,4,4,1,3,1,4,4,5,7,4,4,5,4,4,1,4,4,4,3,4,4,3,4,4
LawnMower,1,4,4,4,4,3,3,4,1,1,4,4,4,4,4,7,4,2,4,4,4,4,4,4,1,4,3,4,4,4
Lizard,4,4,4,2,4,4,6,4,4,4,4,6,3,4,4,4,7,4,3,2,4,4,4,4,3,4,3,4,4,3
Nail,4,5,5,1,3,4,4,2,4,1,1,4,4,6,4,4,2,7,5,4,4,4,4,4,3,5,4,4,4,1
Oilcan,4,4,5,4,4,1,4,4,4,3,1,4,4,4,4,4,3,6,7,4,3,6,4,4,4,4,5,4,4,4
Paintbrush,3,4,4,4,3,1,4,5,4,1,4,4,4,4,6,3,4,4,4,6,6,6,4,4,4,4,4,4,6,4
Salamander,4,6,4,4,4,4,3,4,3,1,4,4,4,5,4,4,6,6,4,4,4,4,4,3,4,4,3,4,1,4
Saw,3,3,3,3,4,3,4,6,3,3,4,1,1,3,5,4,4,4,1,4,5,4,4,3,3,4,1,4,3,4
Screwdriver,4,4,5,4,4,4,4,4,3,1,1,4,1,4,6,4,4,4,4,4,4,2,6,4,1,6,4,1,4,4
Shovel,4,6,4,4,3,4,4,4,4,3,6,4,4,6,4,4,1,4,4,5,4,4,4,6,4,4,4,4,4,4
Snake,3,4,3,4,1,1,4,4,5,3,4,4,4,5,4,1,4,4,4,4,4,3,4,4,7,4,4,4,4,4
Spanner,3,6,4,4,4,4,4,6,3,3,4,5,5,4,4,4,3,4,4,6,3,3,4,4,4,4,4,4,4,4
Toad,4,4,4,4,3,4,4,4,3,4,4,4,4,4,1,4,4,4,3,4,4,1,6,3,4,3,6,4,4,4
Tortoise,1,4,4,4,4,5,3,3,3,3,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,5,7,4,4
Turtle,4,4,4,1,4,3,4,4,3,3,4,4,4,5,4,1,4,1,4,5,4,4,4,3,3,4,4,4,7,4
Vacuum,4,4,4,4,4,1,4,1,2,4,1,4,1,4,4,4,1,4,2,4,3,4,4,4,4,4,4,4,1,4
