,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,4,3,1,4,4,3,6,7,4,4,4,4,4,3,4,4,4,4,4,3,4,3,6,4,4,4,4,4
Anvil,4,6,3,4,4,4,4,6,3,3,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4
Axe,4,4,6,4,4,4,4,4,4,4,4,4,1,4,4,3,3,3,4,4,4,4,4,4,3,3,4,4,3,4
Blindworm,4,4,4,4,4,3,4,4,3,3,1,4,4,3,4,3,4,3,4,4,4,3,4,3,1,4,3,4,4,4
Boapython,1,4,3,4,7,3,4,4,4,1,1,4,4,4,4,3,4,4,5,4,4,3,4,3,6,3,4,4,4,4
Caiman,3,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
Chameleon,3,3,4,4,4,4,4,4,3,4,3,6,4,4,4,4,6,4,4,6,6,4,4,4,4,4,4,4,3,4
Chisel,3,4,4,4,4,4,5,6,4,4,4,4,3,4,1,4,5,6,4,4,3,6,4,6,4,4,4,4,4,4
Cobra,3,4,4,3,2,4,4,4,4,4,1,4,4,4,4,1,6,6,3,4,1,4,4,3,4,4,4,4,4,3
Crocodile,6,4,3,4,1,4,4,3,6,7,4,4,1,6,4,4,4,1,4,3,3,3,4,3,4,4,1,3,4,4
Dinosaur,5,4,4,4,3,4,4,1,4,6,4,4,1,4,4,3,4,4,4,4,4,3,4,5,4,4,4,4,4,4
Gecko,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,3,4,4,4,6,1,3,4,4,3,4,4,4,4,4
Grindingdisk,4,7,6,1,4,3,4,5,3,3,3,4,4,3,5,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4
Hammer,4,3,4,3,4,1,4,6,3,3,3,5,4,6,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4
Knife,2,4,6,1,4,1,4,5,4,4,4,4,4,4,7,4,4,4,4,4,3,5,4,4,2,4,5,4,3,4
LawnMower,1,1,2,3,4,2,1,4,4,1,1,4,4,3,5,7,1,3,4,4,4,3,4,1,1,4,4,2,1,4
Lizard,4,3,4,1,3,3,4,4,4,1,4,6,1,4,4,4,7,3,4,4,6,1,4,3,4,3,4,6,4,4
Nail,3,4,4,1,4,1,3,4,3,4,1,4,3,6,4,4,4,7,4,4,4,4,4,4,1,1,4,3,4,4
Oilcan,4,1,4,4,4,3,4,6,5,3,4,4,4,6,5,1,4,3,7,6,4,4,4,5,4,4,5,4,4,4
Paintbrush,4,4,3,4,6,6,4,6,4,1,4,4,1,4,4,3,4,4,6,7,4,4,4,4,4,4,3,4,5,4
Salamander,4,3,4,1,4,4,4,5,1,4,1,4,4,1,4,3,4,4,3,4,4,4,4,3,3,4,4,3,6,1
Saw,3,4,4,3,1,3,4,4,4,3,4,4,3,4,7,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4
Screwdriver,1,1,4,1,4,4,4,4,1,4,4,4,4,4,2,4,3,4,4,4,4,4,7,3,4,4,4,4,4,4
Shovel,1,4,5,4,1,5,4,4,4,3,1,4,3,6,4,4,4,4,2,4,4,5,4,7,6,4,6,4,4,4
Snake,2,4,4,3,4,4,4,4,6,3,1,4,4,3,5,4,4,4,1,4,4,4,4,4,7,4,4,4,4,4
Spanner,3,7,4,3,4,3,4,6,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,1,4,4,3,4
Toad,4,3,4,3,4,4,1,4,3,3,4,1,4,4,4,1,4,4,3,4,5,3,4,4,3,4,6,4,4,4
Tortoise,3,6,4,1,4,3,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,6,7,7,1
Turtle,4,4,4,4,4,4,4,4,3,3,1,4,4,4,4,1,4,4,1,1,4,4,4,4,3,4,4,4,7,1
Vacuum,4,1,4,4,4,3,1,4,1,3,4,4,4,6,1,4,4,4,4,4,4,4,4,3,3,4,4,1,4,4
