,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,6,3,2,4,1,4,4,4,4,6,3,4,4,3,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4
Anvil,5,4,4,4,4,6,3,6,3,4,4,4,4,6,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,1
Axe,4,4,4,4,4,4,1,4,3,4,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,4,3,4,4,4
Blindworm,1,4,4,4,4,1,4,4,4,5,4,4,5,4,4,4,4,2,4,4,4,3,4,4,3,4,3,4,4,1
Boapython,1,4,3,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,6,4,4,3,4,4,3,3,4,4
Caiman,4,4,3,3,4,6,4,4,1,6,4,4,4,3,5,4,4,4,3,4,4,4,3,3,5,4,3,4,1,3
Chameleon,4,4,3,4,4,3,4,4,3,4,1,4,3,3,5,1,4,4,4,4,4,3,4,3,3,4,4,3,4,4
Chisel,3,4,3,3,4,3,4,6,1,4,7,5,3,4,4,3,3,4,5,4,4,5,4,4,4,4,4,4,4,4
Cobra,4,3,3,3,6,3,4,4,4,6,3,4,4,4,4,1,4,4,3,4,3,4,4,3,4,4,4,4,4,1
Crocodile,4,3,3,3,3,3,4,4,3,6,1,4,4,4,4,4,3,4,3,3,1,4,1,4,4,4,4,4,4,4
Dinosaur,4,4,4,3,4,3,4,5,3,6,7,5,4,4,4,1,4,4,4,4,4,3,4,4,3,4,4,4,4,4
Gecko,4,4,6,4,4,4,3,4,4,3,1,4,4,3,4,4,6,4,4,4,3,3,4,4,4,4,4,4,4,4
Grindingdisk,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,3,4,4,1,4,4,3,4,5,6,5,4,3
Hammer,2,4,4,4,4,4,4,4,4,1,4,5,4,7,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4
Knife,4,4,4,4,4,2,4,6,3,7,3,4,4,4,7,6,1,6,4,4,3,6,4,4,3,4,4,3,4,4
LawnMower,4,4,4,3,4,4,4,4,4,3,1,4,4,4,4,7,3,4,4,4,3,6,4,6,4,4,4,3,4,4
Lizard,1,4,4,3,1,1,7,3,4,3,1,4,4,4,4,1,7,4,1,4,6,1,4,4,4,3,4,4,4,4
Nail,3,4,4,4,1,3,4,4,3,1,1,4,3,4,6,4,3,7,6,4,4,1,4,4,4,4,4,4,4,4
Oilcan,3,7,5,4,4,2,4,4,3,3,4,6,4,5,3,4,4,4,7,4,4,6,6,3,5,4,6,4,4,4
Paintbrush,4,4,4,4,4,4,6,6,3,1,3,4,4,5,4,5,4,4,4,7,4,4,4,4,4,4,4,4,4,4
Salamander,3,4,6,4,1,4,4,6,3,3,3,4,1,4,4,4,4,3,4,2,4,3,4,4,3,4,6,4,4,3
Saw,3,4,4,4,2,4,4,4,3,4,3,4,1,4,4,3,3,4,1,4,3,4,4,4,3,5,3,2,4,3
Screwdriver,1,1,6,4,4,5,4,4,5,1,4,4,4,4,4,3,4,4,4,5,4,4,7,5,4,4,4,1,1,4
Shovel,1,4,6,4,4,3,4,3,4,3,4,4,4,6,4,4,1,4,3,2,4,4,4,7,4,4,4,4,4,4
Snake,4,3,3,1,6,3,3,3,5,3,4,4,4,4,3,1,4,4,4,4,3,1,4,3,7,4,3,4,4,3
Spanner,4,4,6,3,4,3,3,6,3,6,4,6,4,4,4,4,1,4,4,4,4,5,2,4,3,4,4,3,4,4
Toad,4,4,3,3,1,4,1,4,3,6,4,4,4,4,4,4,4,1,3,4,4,3,4,4,3,4,4,4,4,3
Tortoise,3,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,3,7,3,4,3,4,4,4,1,4,4,7,6,4
Turtle,4,4,3,4,4,4,4,6,4,3,4,5,3,4,4,4,4,4,2,4,4,4,4,4,3,4,5,6,7,1
Vacuum,1,1,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,1,4,3,4,3,4
