,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,4,4,1,4,3,4,4,6,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,1
Anvil,3,6,6,4,4,6,6,6,3,4,4,4,3,6,4,4,4,4,5,4,3,4,4,6,4,4,4,4,4,4
Axe,4,4,4,4,4,4,1,4,4,3,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Blindworm,3,4,3,4,1,3,4,3,3,3,1,4,4,3,1,4,4,3,4,4,4,3,4,4,3,4,3,6,4,3
Boapython,4,4,4,4,6,4,4,4,6,3,4,4,4,4,4,4,4,4,3,4,4,4,4,1,3,3,4,4,4,3
Caiman,4,4,4,4,4,4,4,4,3,4,4,3,1,4,3,3,3,4,3,4,4,1,4,6,3,4,3,4,4,4
Chameleon,3,4,4,3,2,6,6,4,4,1,1,4,4,3,1,1,4,4,4,4,4,4,4,4,4,3,4,3,6,4
Chisel,3,4,6,4,4,4,4,6,5,3,3,3,4,4,6,3,3,6,4,4,4,4,4,3,3,4,4,3,4,4
Cobra,3,4,4,4,3,3,3,4,1,3,2,4,4,3,4,3,3,3,4,4,4,3,6,3,4,3,4,4,4,1
Crocodile,6,1,4,4,4,4,3,3,3,6,1,4,3,3,4,3,4,4,3,1,4,3,4,3,4,3,4,3,3,4
Dinosaur,4,5,4,4,4,3,4,4,4,6,7,4,4,5,4,4,6,4,4,4,4,4,4,1,4,4,7,4,4,4
Gecko,1,4,4,4,4,3,3,4,4,4,1,6,1,4,4,4,4,4,4,6,4,4,4,4,1,4,4,4,4,4
Grindingdisk,4,4,5,3,4,3,3,6,4,4,4,4,4,4,4,6,3,5,4,4,4,3,4,6,3,4,6,4,1,6
Hammer,2,4,4,3,4,4,4,4,3,3,3,4,1,6,4,3,4,4,3,4,4,6,4,4,4,4,4,4,4,4
Knife,4,4,4,1,4,4,4,6,4,3,4,4,4,4,7,4,4,5,4,4,3,4,4,4,4,4,4,1,4,5
LawnMower,3,3,4,3,4,4,4,4,3,1,1,3,4,4,5,7,1,4,4,4,1,4,4,3,1,4,4,4,4,4
Lizard,4,4,4,3,1,4,6,4,5,1,6,6,4,4,4,4,7,4,4,2,6,3,4,4,3,1,4,6,4,4
Nail,1,1,6,1,3,6,4,4,4,1,1,4,1,6,4,4,5,4,1,4,4,4,4,4,3,4,3,1,4,4
Oilcan,4,6,5,4,4,4,3,4,6,3,4,4,6,4,4,4,1,4,7,6,4,6,6,4,5,4,6,4,4,3
Paintbrush,4,4,4,1,4,4,4,4,5,4,4,4,4,6,4,4,3,4,4,6,3,4,4,6,4,4,4,1,4,4
Salamander,4,4,3,4,1,4,4,4,4,3,1,4,4,4,3,4,4,4,4,6,4,4,4,4,3,4,3,4,4,4
Saw,2,4,3,1,4,3,3,4,3,3,3,4,3,4,4,3,4,4,4,4,4,7,4,3,4,4,3,4,4,4
Screwdriver,4,4,4,1,4,4,3,6,1,3,1,4,4,6,4,4,4,4,4,4,3,4,7,4,1,4,4,4,4,4
Shovel,1,6,6,4,3,4,4,4,4,1,1,4,3,6,4,4,1,4,4,4,6,4,4,6,4,3,4,4,4,4
Snake,2,3,4,4,4,3,4,4,3,3,4,4,6,3,4,3,4,4,4,4,3,3,4,4,7,3,3,3,4,1
Spanner,4,4,4,4,4,3,3,4,4,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4
Toad,4,1,1,1,4,4,4,4,3,4,4,4,6,4,4,4,1,4,4,6,4,1,4,4,3,4,4,6,4,4
Tortoise,3,4,4,3,1,3,4,4,1,3,4,4,3,4,5,4,3,4,4,4,4,4,4,4,3,4,4,7,4,1
Turtle,4,4,4,4,4,3,6,4,1,3,1,4,1,4,4,1,3,5,4,4,4,4,4,6,4,4,4,6,7,4
Vacuum,4,4,4,4,2,1,1,1,4,1,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,1,1,4,4,4
