,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,3,4,1,4,4,4,4,5,1,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4
Anvil,4,7,6,6,4,4,4,4,4,3,4,4,4,6,5,4,4,1,4,4,3,5,4,4,3,4,4,4,4,4
Axe,3,4,6,3,3,4,3,6,3,3,4,3,4,4,4,3,3,4,3,4,4,4,4,4,3,4,3,4,4,4
Blindworm,4,3,3,4,4,4,4,4,4,4,3,4,4,4,1,1,3,4,4,6,4,3,4,4,3,6,3,4,4,1
Boapython,4,4,4,3,4,4,4,4,4,1,1,4,6,3,5,4,5,4,4,4,4,1,4,4,4,4,4,4,4,4
Caiman,4,4,4,4,1,4,3,4,4,6,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,3,6,1
Chameleon,4,4,4,4,3,3,4,4,3,4,1,4,4,3,4,3,7,4,4,4,4,4,4,4,4,4,4,4,4,3
Chisel,3,4,3,4,4,6,4,7,6,3,4,4,4,4,6,3,4,6,4,4,3,3,4,6,3,4,4,4,3,4
Cobra,4,6,5,3,4,6,4,4,6,4,1,4,1,4,3,4,6,4,5,4,3,3,4,4,1,4,5,4,4,7
Crocodile,6,4,4,4,1,4,4,4,3,7,4,4,3,3,4,4,4,3,4,3,4,3,4,6,4,4,4,4,1,1
Dinosaur,4,1,4,4,3,4,4,1,3,4,7,6,1,3,4,4,6,4,3,4,3,4,4,4,5,4,4,3,4,4
Gecko,4,4,4,4,4,3,4,4,3,4,4,4,4,6,4,3,4,4,4,4,4,4,4,3,4,4,6,4,4,3
Grindingdisk,4,3,3,4,6,4,5,4,3,4,1,3,6,6,4,6,4,3,4,5,5,4,4,4,4,4,3,4,4,4
Hammer,5,4,4,3,3,4,4,4,4,4,1,4,4,6,4,5,3,4,4,4,4,4,5,4,3,4,4,4,4,4
Knife,4,4,3,3,3,1,3,6,4,5,4,3,4,4,7,4,3,6,4,4,4,5,4,4,4,1,4,4,4,4
LawnMower,1,4,3,4,4,5,4,4,4,1,1,4,4,4,4,7,3,4,4,4,4,4,4,4,2,4,4,1,4,4
Lizard,4,4,3,3,4,3,7,4,4,3,1,6,4,3,4,4,7,4,1,4,4,3,4,1,6,4,4,4,4,4
Nail,1,4,4,4,3,1,4,4,3,4,4,4,4,6,5,3,5,1,4,4,4,3,4,4,3,4,4,4,4,4
Oilcan,4,4,3,4,4,4,4,4,4,1,4,4,3,5,4,5,3,4,4,4,4,4,4,6,4,4,4,4,4,4
Paintbrush,2,4,3,4,4,5,6,3,4,4,4,4,4,5,1,1,1,4,4,6,4,4,4,4,4,4,4,4,4,4
Salamander,4,4,3,5,1,3,4,4,3,3,4,4,4,4,4,1,4,1,4,4,4,3,4,4,4,6,4,4,4,3
Saw,3,4,3,4,3,4,4,5,3,4,3,4,4,4,4,3,1,4,4,6,4,4,4,4,4,4,4,3,4,4
Screwdriver,1,4,5,4,4,6,4,4,1,2,4,4,3,6,6,4,1,3,4,4,4,3,7,4,1,3,4,1,4,4
Shovel,1,4,6,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,1,4,4,6,1,5,4,4,1,4
Snake,4,6,3,3,4,3,4,1,1,6,4,4,1,4,4,4,4,3,4,3,3,4,4,4,7,4,5,4,4,3
Spanner,2,4,4,4,4,5,4,6,1,4,4,3,4,4,4,4,5,5,3,4,4,4,4,6,4,4,4,4,4,4
Toad,3,6,3,3,1,7,4,4,3,4,3,4,4,4,4,4,4,5,4,1,6,3,4,4,3,4,7,4,4,4
Tortoise,3,4,4,4,1,4,4,1,7,4,1,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,7,6,4
Turtle,4,4,4,4,4,3,4,6,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,6,1,1,4,6,7,4
Vacuum,1,3,4,4,4,4,3,3,4,1,4,4,1,4,2,3,3,4,4,4,1,4,4,4,1,4,4,4,4,4
