,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,3,1,4,4,4,3,2,6,1,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4
Anvil,1,6,6,4,4,3,3,4,4,3,3,4,4,6,4,4,3,6,4,4,3,4,4,4,4,5,4,4,4,4
Axe,4,4,6,1,4,4,6,4,5,4,4,5,5,4,4,4,4,4,4,2,3,4,4,4,1,4,3,4,3,4
Blindworm,4,4,5,4,4,4,4,4,4,3,1,4,1,4,4,4,6,4,1,4,3,4,5,3,4,4,3,1,4,4
Boapython,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3
Caiman,4,6,4,3,4,1,5,6,3,7,4,4,4,4,4,4,4,4,4,5,4,4,1,4,1,4,4,4,4,4
Chameleon,4,4,4,3,4,4,4,6,3,3,4,6,4,3,4,4,4,3,4,4,2,3,4,4,2,4,4,4,4,4
Chisel,3,4,3,1,4,4,6,4,5,4,4,3,5,6,6,4,5,6,5,4,5,7,4,4,3,3,4,4,4,4
Cobra,6,4,5,4,4,4,4,6,4,4,4,4,1,4,6,4,4,4,4,5,4,4,4,1,5,4,4,4,4,3
Crocodile,7,4,1,4,4,5,4,4,3,7,1,4,5,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Dinosaur,6,4,4,4,4,4,4,4,4,4,7,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
Gecko,4,4,4,4,4,4,4,4,4,1,1,6,4,5,6,4,6,4,4,4,4,4,4,3,3,4,4,4,6,4
Grindingdisk,5,4,6,4,4,4,4,4,4,2,4,4,7,5,5,4,3,3,4,5,4,4,4,4,1,4,3,3,4,4
Hammer,1,4,5,3,4,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,3
Knife,2,4,5,1,4,1,4,5,3,4,1,4,4,4,7,4,1,4,4,5,2,4,4,6,4,4,4,4,4,4
LawnMower,3,1,3,1,5,3,4,3,4,1,1,4,4,4,4,7,4,4,4,4,4,6,4,3,4,4,4,4,3,4
Lizard,6,1,4,3,4,3,6,4,3,6,4,6,4,3,4,4,7,4,4,1,6,3,4,3,3,4,4,4,4,4
Nail,1,4,4,4,4,4,4,4,3,1,1,4,4,6,5,1,3,7,4,4,4,3,4,4,4,3,7,3,4,4
Oilcan,4,4,4,4,4,3,4,4,4,5,1,4,4,4,4,4,4,4,7,4,3,5,4,3,3,4,5,4,6,4
Paintbrush,4,4,4,4,4,4,4,1,3,3,4,5,1,4,4,4,4,4,3,6,6,4,4,4,3,4,6,4,4,4
Salamander,3,4,3,3,1,4,4,4,3,1,3,4,4,4,4,4,4,3,3,4,6,4,4,4,4,3,4,3,4,1
Saw,4,6,4,3,3,4,3,4,3,4,3,4,4,3,4,3,4,3,3,4,3,4,5,3,3,4,3,4,4,4
Screwdriver,4,4,4,4,4,4,3,6,1,4,1,4,1,4,5,4,1,4,4,4,1,3,7,4,4,4,3,4,4,4
Shovel,2,4,6,3,4,4,4,4,3,3,1,4,4,4,6,5,4,4,4,4,3,5,4,6,4,4,4,4,4,5
Snake,3,6,4,4,4,1,4,3,4,3,2,4,1,4,3,1,4,4,1,1,4,3,4,3,7,4,3,4,4,3
Spanner,3,4,1,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,1
Toad,1,6,3,3,4,4,4,3,3,4,3,4,4,3,4,4,4,6,4,4,4,3,4,4,3,4,4,4,3,4
Tortoise,4,4,4,1,4,4,1,4,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,7,4,4
Turtle,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,3,6,6,6,7,4
Vacuum,1,4,4,4,4,3,4,4,7,4,1,4,3,1,3,4,4,4,1,4,4,5,4,4,1,4,3,1,4,4
