,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,5,4,4,4,4,3,1,6,4,4,3,4,4,1,6,4,4,4,4,3,4,4,5,4,4,4,4,4
Anvil,3,6,4,3,4,4,3,4,4,4,4,4,5,4,6,4,4,4,6,4,3,6,4,4,4,4,4,4,4,3
Axe,3,4,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4
Blindworm,4,4,3,1,3,4,6,4,1,1,4,4,6,3,4,3,3,6,4,4,4,4,4,3,2,1,3,4,4,4
Boapython,3,4,4,4,4,4,4,4,4,3,1,4,4,4,4,3,6,4,4,4,4,4,2,3,4,4,4,4,4,3
Caiman,4,4,4,7,6,4,6,4,5,6,4,4,4,3,5,4,6,4,3,4,4,4,4,4,3,3,4,4,4,4
Chameleon,4,3,6,3,3,3,6,4,4,4,3,6,3,4,4,3,4,3,4,6,4,3,4,4,3,4,6,4,4,4
Chisel,6,4,3,4,3,3,4,6,3,4,3,4,4,6,1,4,4,3,4,4,3,6,4,4,3,5,4,4,4,3
Cobra,4,4,4,5,4,4,4,5,4,3,4,4,4,3,4,5,3,4,6,4,3,3,4,3,3,4,4,4,4,3
Crocodile,4,4,4,1,1,3,3,6,4,7,3,3,4,3,4,4,4,4,3,4,4,5,4,4,4,4,4,4,3,3
Dinosaur,6,3,3,4,4,4,3,5,3,6,7,4,3,3,4,1,6,1,4,4,4,1,4,4,4,4,4,5,4,1
Gecko,4,4,3,4,4,4,3,4,3,4,1,4,4,4,4,4,4,3,4,1,4,4,4,3,3,1,4,4,4,4
Grindingdisk,5,4,4,4,4,4,3,4,5,3,3,4,4,6,6,4,3,4,4,4,4,4,4,3,4,4,3,3,1,4
Hammer,3,6,6,3,4,4,4,6,4,4,4,3,3,7,4,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4
Knife,1,4,4,3,5,4,3,6,3,1,1,4,4,4,7,4,1,4,4,5,3,4,4,4,3,4,4,3,4,4
LawnMower,1,4,4,4,1,4,4,4,4,1,1,4,3,4,4,6,1,4,4,4,3,3,4,4,4,4,3,4,4,4
Lizard,6,3,3,5,4,4,6,4,3,6,6,6,4,3,4,1,7,4,4,3,4,4,1,4,3,4,4,4,4,3
Nail,4,4,4,4,1,1,3,4,3,1,3,4,4,6,5,4,1,7,4,4,1,4,4,4,3,5,3,2,1,4
Oilcan,1,6,3,4,4,4,4,4,5,3,4,4,4,6,4,4,4,4,7,4,4,6,4,4,3,4,6,4,4,3
Paintbrush,4,4,5,4,4,4,4,4,4,1,1,4,1,4,5,4,4,4,4,6,4,3,4,3,4,4,6,4,4,5
Salamander,4,3,3,4,2,3,4,3,3,3,3,4,4,3,4,4,4,4,3,1,4,3,4,4,3,4,5,3,4,4
Saw,3,4,3,3,3,4,3,3,3,2,3,3,5,3,4,3,3,3,4,4,4,6,4,3,4,4,4,4,4,4
Screwdriver,4,4,4,1,4,4,4,4,4,1,4,4,4,4,6,4,1,4,4,4,4,4,6,4,4,4,4,4,4,4
Shovel,3,4,6,3,2,4,4,4,3,3,7,4,4,4,4,5,4,4,4,4,4,4,4,6,4,4,4,4,4,4
Snake,1,6,4,4,4,3,4,5,3,3,1,4,1,4,1,1,4,4,4,4,4,4,4,4,7,4,4,4,4,3
Spanner,3,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,6,4,4,4,3,4,4,4,3,6,4,3,4,4
Toad,2,4,4,1,3,4,4,5,3,6,3,4,4,4,4,3,4,3,4,6,4,4,4,4,4,6,6,4,4,4
Tortoise,4,4,3,4,4,4,3,4,3,3,3,4,4,3,3,1,3,1,4,4,3,4,4,4,4,4,6,7,4,4
Turtle,4,6,3,4,4,4,4,4,4,4,3,4,4,4,4,1,4,1,4,4,6,5,4,6,4,4,4,4,7,4
Vacuum,1,4,3,4,1,3,4,4,1,4,4,4,4,4,1,4,1,4,3,4,1,1,4,4,1,4,1,4,4,4
