,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,1,4,3,4,4,4,3,4,6,1,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4
Anvil,1,6,4,5,4,4,4,6,4,4,3,4,4,4,6,4,1,4,4,4,4,4,4,6,4,4,4,4,4,4
Axe,3,4,4,4,4,4,3,3,4,3,4,4,3,4,4,1,4,4,4,4,4,3,4,4,3,4,4,4,3,4
Blindworm,1,4,3,4,1,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4
Boapython,1,4,5,1,7,3,6,4,4,1,1,3,4,3,4,3,6,4,4,4,1,4,4,5,4,4,4,4,4,4
Caiman,1,3,4,4,3,1,4,4,3,4,4,4,6,4,4,3,4,4,3,5,4,3,4,4,4,4,3,4,4,4
Chameleon,4,4,4,4,4,4,7,5,4,4,4,6,3,3,4,4,6,3,4,4,4,1,4,3,4,4,3,4,4,4
Chisel,4,5,4,1,4,5,4,6,4,4,4,4,4,4,6,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Cobra,4,6,4,4,4,3,4,4,7,3,4,1,4,4,3,3,4,4,4,6,4,4,4,4,4,4,4,3,4,3
Crocodile,4,4,3,3,1,4,4,3,4,7,1,4,4,3,4,4,3,4,3,3,1,3,4,3,4,4,4,4,4,3
Dinosaur,4,1,4,1,4,5,4,4,3,6,7,4,4,3,4,1,6,4,3,4,1,1,4,3,4,4,4,4,4,4
Gecko,4,4,4,4,3,3,4,4,4,3,4,6,4,4,4,4,6,4,4,4,3,4,4,4,3,4,4,4,4,1
Grindingdisk,4,4,4,4,4,3,4,4,4,1,3,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4
Hammer,3,4,4,4,4,4,4,6,3,4,3,6,4,6,4,4,3,4,5,4,3,4,4,3,4,4,4,4,4,4
Knife,2,4,6,4,4,2,4,4,4,4,4,4,4,4,7,4,1,4,4,3,4,4,4,4,3,3,4,4,4,4
LawnMower,1,1,3,1,4,3,3,3,5,1,4,4,1,4,4,7,3,4,3,4,3,3,4,6,1,4,4,4,3,4
Lizard,6,4,4,3,4,6,6,4,3,3,1,6,4,3,4,4,7,4,4,4,4,1,4,3,4,4,3,3,4,1
Nail,1,6,5,1,3,5,3,4,3,1,1,4,4,6,6,4,4,7,5,4,3,4,4,4,1,4,4,4,3,4
Oilcan,4,4,4,6,4,4,4,4,4,1,5,6,4,4,4,4,4,6,7,4,4,5,4,4,4,4,4,5,4,1
Paintbrush,1,4,4,4,4,5,4,4,4,2,1,4,4,4,5,4,4,4,4,6,4,4,4,5,3,4,4,4,4,4
Salamander,4,4,4,4,4,4,4,3,3,1,4,4,3,4,4,4,4,4,3,4,7,3,4,2,4,4,4,4,4,3
Saw,4,3,4,3,3,4,3,4,3,3,4,3,3,3,6,3,3,4,4,4,3,4,4,3,4,4,3,4,3,4
Screwdriver,4,6,4,4,4,3,4,4,1,1,4,4,4,6,4,4,1,6,4,4,4,4,7,4,1,4,4,4,1,4
Shovel,1,4,4,4,4,3,4,4,4,1,3,4,3,6,4,5,1,4,4,4,4,6,4,6,4,4,4,6,4,4
Snake,3,4,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,7,4,1,4,4,1
Spanner,4,4,5,4,6,4,3,4,4,3,1,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Toad,4,6,3,3,4,4,4,4,3,4,1,6,4,4,3,4,4,1,3,3,4,3,4,4,4,4,6,4,4,4
Tortoise,4,5,4,4,3,3,4,4,1,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,6,4,4,4
Turtle,6,4,4,4,1,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,6,6,4,7,4
Vacuum,1,4,4,4,4,3,3,4,4,2,1,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,4
