,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,3,3,1,3,3,4,4,3,6,2,6,3,4,4,4,6,3,4,4,3,4,4,4,5,1,3,4,4,4
Anvil,4,7,4,4,4,4,4,6,4,3,1,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Axe,4,4,7,1,4,4,3,3,3,4,3,3,4,5,4,4,4,5,3,4,4,3,4,3,3,4,3,4,3,4
Blindworm,3,4,4,1,3,3,1,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,6,4,3,4,4,4,3,1
Boapython,1,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,5,4,4,3,4,2,1,4,1
Caiman,3,4,4,3,3,6,4,3,4,4,1,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4
Chameleon,3,3,4,3,4,4,1,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,6,4,4
Chisel,4,4,4,3,4,3,4,6,4,4,4,4,4,4,4,4,3,4,4,5,4,4,6,4,3,1,3,4,4,4
Cobra,1,4,4,3,4,3,4,4,6,3,3,4,4,3,3,1,4,4,5,4,3,4,4,4,4,4,4,4,3,4
Crocodile,4,4,3,1,3,3,4,3,6,7,4,4,3,4,3,4,4,4,4,4,3,4,4,1,6,1,4,3,3,4
Dinosaur,3,5,5,4,4,4,1,4,4,6,7,4,1,4,3,4,6,4,4,4,5,3,4,3,4,4,4,4,4,4
Gecko,4,4,4,4,4,6,4,4,4,4,3,6,4,4,4,4,6,4,4,4,4,3,4,4,3,4,5,4,4,4
Grindingdisk,4,4,5,4,4,4,4,6,4,3,1,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,4,4,4
Hammer,4,4,4,3,3,4,4,4,2,4,4,4,3,6,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4
Knife,3,4,6,3,4,3,3,4,2,4,1,4,4,4,7,4,3,6,4,6,2,4,4,5,3,4,4,4,3,4
LawnMower,3,3,4,4,3,4,4,5,4,3,4,4,4,4,3,6,3,4,4,4,4,3,4,6,1,4,4,4,4,4
Lizard,3,6,1,3,4,3,4,4,1,6,4,6,4,2,4,1,7,6,4,6,4,4,4,3,3,4,4,4,4,3
Nail,4,6,5,4,3,1,1,4,4,3,4,4,4,6,2,4,3,4,6,4,3,6,4,5,4,4,1,4,4,4
Oilcan,3,4,5,4,4,6,4,4,4,4,4,5,4,4,1,3,4,4,7,4,4,4,4,4,4,4,4,4,4,4
Paintbrush,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6,4,4,4,6,6,4,4,4,4,4,4,6,4,6,5
Salamander,3,4,3,4,1,3,4,4,1,1,3,4,4,4,3,4,6,3,3,4,6,4,4,4,4,4,4,3,4,4
Saw,3,3,3,4,3,3,1,4,1,3,4,3,3,3,4,3,3,2,3,4,3,4,4,4,4,3,1,4,3,4
Screwdriver,3,4,4,4,4,4,4,4,4,1,4,4,4,6,4,4,4,5,4,4,4,4,7,4,4,4,4,4,4,4
Shovel,1,6,6,3,4,4,4,4,3,4,5,4,4,6,4,6,1,4,4,4,1,4,4,6,3,4,4,4,4,4
Snake,6,4,4,1,1,3,4,3,6,4,4,5,4,4,5,3,4,4,4,4,3,3,4,4,7,4,3,4,4,4
Spanner,4,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4
Toad,3,4,3,3,4,3,4,1,4,1,1,7,6,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,2,7
Tortoise,4,4,4,4,4,3,4,4,3,4,1,3,4,5,4,4,3,1,4,6,2,4,4,4,4,4,4,7,1,4
Turtle,1,4,3,4,4,4,4,4,1,4,4,7,4,4,4,4,4,4,3,6,4,4,4,4,4,4,7,4,7,2
Vacuum,3,4,4,4,4,4,1,4,1,3,4,4,4,3,4,1,1,4,4,1,3,4,4,1,1,4,4,4,4,4
