,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,4,4,4,4,4,4,4,6,1,4,4,3,4,1,4,3,4,4,3,4,4,3,4,4,3,4,4,4
Anvil,4,6,5,3,4,4,4,6,3,3,6,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5
Axe,4,3,4,3,3,3,4,4,3,3,4,4,4,4,4,4,3,3,4,5,3,4,4,1,3,4,3,4,4,4
Blindworm,4,4,4,4,4,3,4,4,1,3,1,4,1,3,4,3,4,4,4,4,4,3,1,4,4,4,1,6,4,4
Boapython,1,6,5,4,4,4,4,4,3,6,7,4,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4
Caiman,7,4,3,4,6,4,3,6,1,6,1,4,4,4,4,4,4,4,4,1,4,4,4,6,4,4,4,4,4,4
Chameleon,3,4,4,3,4,4,6,4,4,4,3,6,4,4,4,3,6,4,3,6,4,4,3,4,3,4,4,4,4,4
Chisel,3,5,4,5,4,4,5,6,4,4,3,4,4,4,4,4,4,6,4,4,4,6,4,4,3,4,4,4,4,4
Cobra,3,6,4,3,3,4,4,4,4,4,1,6,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4
Crocodile,4,2,4,3,4,7,4,3,4,6,1,3,4,4,3,4,3,4,2,1,1,1,4,3,4,4,4,4,4,1
Dinosaur,5,4,3,4,4,4,4,3,4,6,5,4,5,5,4,4,4,4,3,4,3,3,4,1,3,4,5,4,4,4
Gecko,6,4,4,4,4,4,4,4,4,3,1,7,3,1,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,1
Grindingdisk,4,6,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,5,4,4,4,4,4
Hammer,3,4,4,3,2,4,4,6,3,1,4,6,3,4,4,4,4,4,4,5,4,6,4,4,3,4,4,3,4,4
Knife,3,4,6,3,1,4,4,6,3,3,4,6,4,4,7,4,4,4,4,4,4,5,4,5,3,4,4,4,1,1
LawnMower,1,1,4,3,4,4,1,4,1,1,1,4,1,4,4,7,4,4,4,5,4,6,4,4,2,4,4,4,4,4
Lizard,4,4,4,3,3,4,6,4,3,5,3,6,3,4,4,1,7,4,3,4,6,4,4,1,4,4,4,4,6,4
Nail,1,4,3,4,3,1,4,6,3,3,1,4,4,6,5,4,4,7,4,4,4,1,4,5,1,4,4,4,4,2
Oilcan,4,4,4,3,4,4,1,4,4,1,4,4,4,5,4,4,4,4,4,5,3,6,4,4,4,4,4,4,6,5
Paintbrush,4,4,6,4,3,4,4,7,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
Salamander,3,4,3,4,3,3,3,4,4,1,4,4,4,4,4,4,4,4,4,4,7,4,4,5,4,4,4,4,4,1
Saw,3,4,3,3,3,3,4,4,4,3,4,3,4,4,5,5,4,4,4,3,4,6,4,3,4,4,4,4,4,4
Screwdriver,1,4,4,4,4,4,4,4,3,4,1,4,4,6,5,4,4,4,4,1,4,4,7,4,3,4,4,4,4,4
Shovel,1,7,6,4,4,4,5,4,4,5,1,4,4,4,4,4,4,4,4,4,4,6,4,7,6,4,4,4,4,4
Snake,2,3,3,3,4,6,4,3,3,4,2,4,5,1,3,3,4,4,1,4,1,4,4,4,7,4,3,4,4,3
Spanner,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,1,4,4,4,4
Toad,4,1,3,4,1,1,4,3,5,3,4,4,4,4,4,1,1,4,3,5,4,3,4,3,3,4,7,4,4,3
Tortoise,4,4,4,4,4,4,3,4,1,3,1,3,4,4,4,1,3,1,4,4,3,3,4,4,1,3,4,7,6,3
Turtle,4,4,4,4,1,4,4,3,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,7,4
Vacuum,1,7,4,4,3,4,4,4,4,3,4,4,3,3,4,4,1,4,4,1,4,6,4,6,4,4,3,3,4,4
