,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,1,4,4,4,6,4,1,3,6,2,4,3,4,3,4,4,4,4,4,4,5,4,4,1,4,4,4,6,4
Anvil,4,6,3,4,4,4,4,6,6,4,5,4,3,6,5,4,4,6,4,4,5,4,4,4,4,4,4,4,4,4
Axe,4,4,5,3,4,4,4,4,3,4,3,6,1,4,5,4,4,5,4,4,3,4,4,3,3,4,4,4,4,4
Blindworm,4,4,3,4,3,4,3,4,3,3,1,4,1,4,3,3,4,4,4,4,4,4,3,4,1,4,2,4,4,3
Boapython,4,4,4,4,4,3,4,4,4,1,1,4,4,4,3,1,3,4,4,3,3,3,4,4,4,5,4,4,4,3
Caiman,4,4,3,3,3,4,4,6,3,4,3,6,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4
Chameleon,3,4,1,4,4,3,4,4,4,4,3,4,3,4,4,3,6,4,4,4,4,5,4,4,4,4,4,5,4,4
Chisel,3,4,3,3,4,4,4,6,5,4,5,5,4,5,4,4,3,4,5,4,4,6,6,3,3,4,4,4,4,4
Cobra,6,4,5,4,2,4,4,6,4,4,4,4,4,3,4,3,4,4,4,6,4,3,4,3,4,3,4,4,2,4
Crocodile,4,4,3,3,3,4,4,4,4,7,4,4,3,4,3,4,2,2,4,4,3,3,4,3,4,4,4,3,4,4
Dinosaur,5,6,4,4,1,4,2,6,1,4,4,4,1,3,4,4,6,4,3,4,4,7,4,6,4,4,4,4,4,3
Gecko,1,4,4,4,1,3,4,4,3,3,1,6,4,4,4,3,4,4,4,4,4,4,4,3,1,4,6,4,4,4
Grindingdisk,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,5,4,1,3,3,4
Hammer,3,4,4,4,4,4,4,4,3,3,4,5,3,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Knife,1,4,4,4,4,4,3,4,3,1,4,4,3,4,7,1,4,6,4,4,4,5,4,4,3,4,4,4,4,4
LawnMower,1,1,4,3,4,4,2,4,6,1,4,4,4,4,4,7,3,4,4,4,3,3,4,4,3,4,4,4,4,4
Lizard,3,5,3,3,4,4,7,4,4,1,4,6,1,4,3,4,7,4,3,4,4,3,4,1,4,4,4,4,4,4
Nail,1,4,4,4,1,4,4,4,6,1,1,4,4,4,4,4,4,7,4,4,4,3,4,4,3,4,4,4,4,4
Oilcan,6,3,5,4,5,3,6,4,4,3,5,3,4,6,4,4,3,4,7,4,3,6,4,4,3,5,4,4,4,4
Paintbrush,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4
Salamander,3,4,3,3,3,4,4,4,4,3,1,6,4,4,4,4,4,4,3,3,7,3,4,4,3,3,4,1,4,4
Saw,3,3,3,3,3,4,4,3,4,5,3,4,3,4,4,3,5,3,4,4,3,4,4,3,4,4,3,4,3,1
Screwdriver,1,4,6,4,4,4,4,6,4,1,4,4,4,6,4,4,4,1,4,4,4,3,7,4,1,4,4,4,4,4
Shovel,1,4,5,4,4,3,4,4,3,1,1,4,4,5,4,4,1,4,4,4,4,4,4,6,4,4,4,4,4,4
Snake,4,4,4,3,4,4,4,4,6,3,4,4,4,4,4,4,3,3,4,4,3,3,3,4,7,4,3,4,4,4
Spanner,4,4,3,4,4,4,3,6,3,4,4,4,4,5,4,2,1,4,3,4,5,4,4,4,1,4,4,3,4,4
Toad,4,4,3,3,3,4,4,3,3,3,1,6,4,3,4,1,4,4,4,4,4,3,4,3,4,4,7,1,4,3
Tortoise,4,4,3,4,4,4,3,4,4,3,1,4,4,1,4,4,4,4,4,4,1,4,4,4,1,1,6,7,4,3
Turtle,4,5,4,1,4,4,4,4,4,4,6,4,4,3,3,4,4,4,5,5,4,4,4,6,4,6,4,6,7,4
Vacuum,1,4,4,4,4,3,4,3,1,1,4,4,4,1,1,4,4,4,3,4,4,1,4,4,4,4,4,4,1,4
